id,nome,cpf,cnpj_completo,email
58,Pedro Costa,52998224725,90709818713649,m58@gmail.com
59,Ana Souza,60608761290,17172257001286,m59@yahoo.com.br
60,João Silva,07370382257,10498791878733,m60@yahoo.com.br
61,João Silva,07370382257,31711107694246,m61@hotmail.com
62,Pedro Costa,62597761525,90709818713649,m62@gmail.com
63,Ana Souza,12345678909,98537346275224,m63@hotmail.com
64,Pedro Costa,12345678909,98537346275224,m64@hotmail.com
65,Pedro Costa,11122233344,98537346275224,m65@yahoo.com.br
66,Maria Santos,52998224725,17172257001286,m66@yahoo.com.br
67,Carlos Oliveira,60608761290,03776586174592,m67@gmail.com
68,Pedro Costa,60608761290,59105026901616,m68@gmail.com
69,Ana Souza,55566677788,15814399731590,m69@gmail.com
70,João Silva,55566677788,15814399731590,m70@yahoo.com.br
71,João Silva,07370382257,15814399731590,m71@yahoo.com.br
72,João Silva,52998224725,99516286428740,m72@hotmail.com
73,João Silva,12345678909,14226870717149,m73@yahoo.com.br
74,João Silva,52998224725,98537346275224,m74@hotmail.com
75,Maria Santos,55566677788,77890974970405,m75@yahoo.com.br
76,Pedro Costa,04335195095,77890974970405,m76@yahoo.com.br
77,João Silva,04335195095,84993584563456,m77@hotmail.com
78,Maria Santos,07370382257,03776586174592,m78@hotmail.com
79,Pedro Costa,52998224725,84993584563456,m79@gmail.com
80,Maria Santos,12345678909,14226870717149,m80@gmail.com
81,Pedro Costa,07370382257,72282567499669,m81@hotmail.com
82,Maria Santos,50221290605,99516286428740,m82@yahoo.com.br
83,Maria Santos,52998224725,84993584563456,m83@yahoo.com.br
84,Ana Souza,60608761290,98537346275224,m84@gmail.com
85,João Silva,12345678909,99516286428740,m85@hotmail.com
86,Carlos Oliveira,98381654840,98537346275224,m86@gmail.com
87,João Silva,52998224725,72282567499669,m87@hotmail.com
88,Carlos Oliveira,12345678909,31711107694246,m88@yahoo.com.br
89,Pedro Costa,12345678909,90709818713649,m89@gmail.com
90,Ana Souza,11122233344,90709818713649,m90@yahoo.com.br
91,Pedro Costa,12345678909,77890974970405,m91@hotmail.com
92,Carlos Oliveira,07370382257,99516286428740,m92@yahoo.com.br
93,Ana Souza,55566677788,22991230990755,m93@yahoo.com.br
94,Ana Souza,52998224725,10498791878733,m94@hotmail.com
95,Carlos Oliveira,11122233344,03776586174592,m95@hotmail.com
96,Carlos Oliveira,60608761290,77890974970405,m96@yahoo.com.br
97,Carlos Oliveira,12345678909,59105026901616,m97@gmail.com
98,Maria Santos,55566677788,31711107694246,m98@yahoo.com.br
99,Ana Souza,98381654840,10498791878733,m99@hotmail.com
100,Maria Santos,04335195095,99516286428740,m100@hotmail.com
101,João Silva,50221290605,15814399731590,m101@gmail.com
102,Maria Santos,11122233344,10498791878733,m102@yahoo.com.br
103,Maria Santos,04335195095,99516286428740,m103@hotmail.com
104,Pedro Costa,60608761290,99516286428740,m104@hotmail.com
105,Ana Souza,52998224725,03776586174592,m105@hotmail.com
106,Pedro Costa,55566677788,99516286428740,m106@yahoo.com.br
107,Ana Souza,62597761525,03776586174592,m107@gmail.com
108,Ana Souza,60608761290,98537346275224,m108@yahoo.com.br
109,Maria Santos,52998224725,59105026901616,m109@hotmail.com
110,Carlos Oliveira,12345678909,17322309236307,m110@yahoo.com.br
111,Maria Santos,04335195095,31711107694246,m111@yahoo.com.br
112,João Silva,50221290605,90709818713649,m112@hotmail.com
113,Maria Santos,12345678909,14226870717149,m113@gmail.com
114,Ana Souza,62597761525,84993584563456,m114@hotmail.com
115,João Silva,50221290605,14226870717149,m115@hotmail.com
116,Maria Santos,12345678909,17172257001286,m116@gmail.com
117,Ana Souza,07370382257,15814399731590,m117@hotmail.com
118,João Silva,98381654840,14226870717149,m118@yahoo.com.br
119,Ana Souza,12345678909,17322309236307,m119@hotmail.com
120,Maria Santos,07370382257,72282567499669,m120@hotmail.com
121,Carlos Oliveira,11122233344,22991230990755,m121@hotmail.com
122,João Silva,62597761525,14226870717149,m122@hotmail.com
123,Carlos Oliveira,60608761290,77890974970405,m123@gmail.com
124,João Silva,98381654840,15814399731590,m124@gmail.com
125,Carlos Oliveira,52998224725,14226870717149,m125@yahoo.com.br
126,Carlos Oliveira,11122233344,98537346275224,m126@yahoo.com.br
127,Pedro Costa,50221290605,22991230990755,m127@hotmail.com
128,João Silva,62597761525,98537346275224,m128@hotmail.com
129,Maria Santos,52998224725,99516286428740,m129@yahoo.com.br
130,João Silva,07370382257,59105026901616,m130@hotmail.com
131,Carlos Oliveira,55566677788,31711107694246,m131@yahoo.com.br
132,Carlos Oliveira,98381654840,14226870717149,m132@gmail.com
133,Ana Souza,52998224725,14226870717149,m133@gmail.com
134,Maria Santos,04335195095,90709818713649,m134@hotmail.com
135,Carlos Oliveira,62597761525,99516286428740,m135@yahoo.com.br
136,Carlos Oliveira,12345678909,84993584563456,m136@yahoo.com.br
137,Ana Souza,11122233344,15814399731590,m137@gmail.com
138,João Silva,04335195095,22991230990755,m138@hotmail.com
139,Ana Souza,52998224725,10498791878733,m139@yahoo.com.br
140,João Silva,98381654840,22991230990755,m140@gmail.com
