id_email,email,data_envio,campanha,status
164,contato164@hotmail.com,2024-11-21,Promoção Inverno,Aberto
165,contato165@yahoo.com,2024-06-16,Promoção Inverno,Aberto
166,contato166@yahoo.com,2024-08-26,Promoção Black Friday,Enviado
167,contato167@yahoo.com,2024-04-19,Promoção Black Friday,Spam
168,contato168@gmail.com,2024-04-05,Promoção Black Friday,Aberto
169,contato169@gmail.com,2024-10-03,Promoção Verão,Spam
170,contato170@yahoo.com,2024-06-06,Promoção Inverno,Enviado
171,contato171@yahoo.com,2024-09-28,Promoção Verão,Clique
172,contato172@hotmail.com,2024-10-19,Promoção Natal,Clique
173,contato173@yahoo.com,2024-07-26,Promoção Natal,Clique
174,contato174@yahoo.com,2024-03-28,Promoção Black Friday,Enviado
175,contato175@yahoo.com,2024-11-12,Promoção Verão,Aberto
176,contato176@hotmail.com,2024-02-20,Promoção Inverno,Spam
177,contato177@yahoo.com,2024-10-24,Promoção Inverno,Spam
178,contato178@gmail.com,2024-10-09,Promoção Natal,Clique
179,contato179@gmail.com,2024-10-22,Promoção Natal,Spam
180,contato180@yahoo.com,2024-06-06,Promoção Inverno,Enviado
181,contato181@hotmail.com,2024-04-19,Promoção Inverno,Enviado
182,contato182@gmail.com,2024-07-16,Promoção Black Friday,Clique
183,contato183@yahoo.com,2024-02-25,Promoção Natal,Spam
184,contato184@gmail.com,2024-08-14,Promoção Inverno,Spam
185,contato185@yahoo.com,2024-02-06,Promoção Natal,Spam
186,contato186@yahoo.com,2024-07-10,Promoção Inverno,Spam
187,contato187@yahoo.com,2024-09-21,Promoção Inverno,Enviado
188,contato188@hotmail.com,2024-03-26,Promoção Verão,Aberto
189,contato189@hotmail.com,2024-11-17,Promoção Verão,Enviado
190,contato190@yahoo.com,2024-10-25,Promoção Natal,Aberto
191,contato191@yahoo.com,2024-01-14,Promoção Natal,Aberto
192,contato192@hotmail.com,2024-11-05,Promoção Black Friday,Spam
193,contato193@yahoo.com,2024-03-25,Promoção Inverno,Clique
194,contato194@gmail.com,2024-03-18,Promoção Natal,Aberto
195,contato195@gmail.com,2024-10-04,Promoção Natal,Enviado
196,contato196@gmail.com,2024-05-15,Promoção Black Friday,Aberto
197,contato197@gmail.com,2024-05-07,Promoção Inverno,Spam
198,contato198@hotmail.com,2024-05-14,Promoção Verão,Enviado
199,contato199@gmail.com,2024-09-05,Promoção Inverno,Aberto
200,contato200@yahoo.com,2024-07-12,Promoção Natal,Aberto
201,contato201@gmail.com,2024-07-25,Promoção Verão,Clique
202,contato202@yahoo.com,2024-05-25,Promoção Verão,Spam
203,contato203@gmail.com,2024-05-14,Promoção Verão,Spam
204,contato204@gmail.com,2024-10-26,Promoção Verão,Clique
205,contato205@yahoo.com,2024-11-05,Promoção Black Friday,Spam
206,contato206@yahoo.com,2024-09-17,Promoção Inverno,Aberto
207,contato207@gmail.com,2024-02-04,Promoção Verão,Spam
208,contato208@yahoo.com,2024-06-08,Promoção Black Friday,Spam
209,contato209@hotmail.com,2024-04-17,Promoção Inverno,Aberto
210,contato210@hotmail.com,2024-07-25,Promoção Inverno,Enviado
211,contato211@gmail.com,2024-04-15,Promoção Verão,Spam
212,contato212@yahoo.com,2024-04-19,Promoção Inverno,Spam
213,contato213@yahoo.com,2024-02-04,Promoção Natal,Spam
214,contato214@hotmail.com,2024-05-23,Promoção Natal,Clique
215,contato215@yahoo.com,2024-10-21,Promoção Verão,Clique
216,contato216@gmail.com,2024-08-10,Promoção Verão,Clique
217,contato217@hotmail.com,2024-08-16,Promoção Black Friday,Clique
218,contato218@gmail.com,2024-10-21,Promoção Inverno,Aberto
219,contato219@gmail.com,2024-11-09,Promoção Verão,Enviado
220,contato220@gmail.com,2024-12-27,Promoção Verão,Aberto
221,contato221@hotmail.com,2024-10-14,Promoção Black Friday,Clique
222,contato222@hotmail.com,2024-07-21,Promoção Verão,Spam
223,contato223@gmail.com,2024-07-20,Promoção Natal,Enviado
224,contato224@yahoo.com,2024-04-25,Promoção Black Friday,Spam
225,contato225@hotmail.com,2024-10-14,Promoção Verão,Spam
226,contato226@hotmail.com,2024-05-11,Promoção Inverno,Spam
227,contato227@yahoo.com,2024-12-06,Promoção Black Friday,Aberto
228,contato228@gmail.com,2024-11-27,Promoção Natal,Spam
229,contato229@gmail.com,2024-05-23,Promoção Verão,Spam
230,contato230@hotmail.com,2024-03-02,Promoção Verão,Enviado
231,contato231@yahoo.com,2024-10-22,Promoção Verão,Enviado
232,contato232@hotmail.com,2024-12-01,Promoção Natal,Aberto
233,contato233@yahoo.com,2024-11-22,Promoção Verão,Spam
234,contato234@yahoo.com,2024-07-01,Promoção Inverno,Enviado
235,contato235@gmail.com,2024-07-23,Promoção Black Friday,Aberto
236,contato236@hotmail.com,2024-08-28,Promoção Natal,Aberto
237,contato237@gmail.com,2024-07-08,Promoção Inverno,Clique
238,contato238@gmail.com,2024-03-11,Promoção Natal,Spam
239,contato239@gmail.com,2024-12-22,Promoção Inverno,Spam
240,contato240@hotmail.com,2024-02-12,Promoção Black Friday,Clique
241,contato241@hotmail.com,2024-06-24,Promoção Natal,Enviado
242,contato242@hotmail.com,2024-03-05,Promoção Inverno,Enviado
243,contato243@yahoo.com,2024-07-18,Promoção Verão,Spam
244,contato244@hotmail.com,2024-06-28,Promoção Natal,Enviado
245,contato245@hotmail.com,2024-02-11,Promoção Inverno,Aberto
246,contato246@yahoo.com,2024-05-24,Promoção Natal,Enviado
247,contato247@yahoo.com,2024-05-26,Promoção Inverno,Clique
248,contato248@gmail.com,2024-10-21,Promoção Black Friday,Clique
249,contato249@yahoo.com,2024-11-26,Promoção Inverno,Clique
250,contato250@yahoo.com,2024-08-19,Promoção Natal,Clique
251,contato251@yahoo.com,2024-10-08,Promoção Verão,Aberto
252,contato252@yahoo.com,2024-02-03,Promoção Black Friday,Spam
253,contato253@gmail.com,2024-04-03,Promoção Inverno,Enviado
254,contato254@hotmail.com,2024-12-15,Promoção Inverno,Aberto
255,contato255@yahoo.com,2024-02-15,Promoção Verão,Enviado
256,contato256@gmail.com,2024-06-03,Promoção Inverno,Spam
257,contato257@hotmail.com,2024-07-23,Promoção Natal,Spam
258,contato258@hotmail.com,2024-01-25,Promoção Verão,Aberto
259,contato259@gmail.com,2024-01-05,Promoção Natal,Enviado
260,contato260@hotmail.com,2024-07-13,Promoção Inverno,Enviado
261,contato261@hotmail.com,2024-08-18,Promoção Verão,Enviado
262,contato262@hotmail.com,2024-01-08,Promoção Inverno,Enviado
263,contato263@gmail.com,2024-12-22,Promoção Inverno,Enviado
264,contato264@gmail.com,2024-11-01,Promoção Natal,Clique
265,contato265@yahoo.com,2024-08-08,Promoção Black Friday,Clique
266,contato266@gmail.com,2024-01-01,Promoção Verão,Clique
267,contato267@hotmail.com,2024-12-25,Promoção Black Friday,Aberto
268,contato268@gmail.com,2024-09-23,Promoção Natal,Aberto
269,contato269@hotmail.com,2024-12-07,Promoção Inverno,Enviado
270,contato270@yahoo.com,2024-04-24,Promoção Natal,Enviado
271,contato271@gmail.com,2024-06-05,Promoção Verão,Aberto
272,contato272@yahoo.com,2024-07-16,Promoção Inverno,Clique
273,contato273@hotmail.com,2024-06-24,Promoção Natal,Clique
274,contato274@gmail.com,2024-11-06,Promoção Inverno,Clique
275,contato275@hotmail.com,2024-03-03,Promoção Verão,Enviado
276,contato276@gmail.com,2024-03-14,Promoção Inverno,Enviado
277,contato277@gmail.com,2024-06-03,Promoção Verão,Enviado
278,contato278@yahoo.com,2024-12-17,Promoção Black Friday,Clique
279,contato279@yahoo.com,2024-01-22,Promoção Verão,Aberto
280,contato280@gmail.com,2024-03-23,Promoção Verão,Aberto
281,contato281@hotmail.com,2024-10-28,Promoção Inverno,Enviado
282,contato282@yahoo.com,2024-02-21,Promoção Natal,Clique
283,contato283@yahoo.com,2024-03-19,Promoção Natal,Clique
284,contato284@hotmail.com,2024-03-15,Promoção Black Friday,Clique
285,contato285@gmail.com,2024-03-12,Promoção Verão,Clique
286,contato286@yahoo.com,2024-12-06,Promoção Inverno,Spam
287,contato287@gmail.com,2024-07-09,Promoção Inverno,Enviado
288,contato288@yahoo.com,2024-10-22,Promoção Verão,Enviado
289,contato289@hotmail.com,2024-05-18,Promoção Black Friday,Enviado
290,contato290@yahoo.com,2024-03-16,Promoção Natal,Aberto
291,contato291@gmail.com,2024-07-07,Promoção Verão,Aberto
292,contato292@yahoo.com,2024-07-06,Promoção Black Friday,Clique
293,contato293@gmail.com,2024-02-01,Promoção Black Friday,Enviado
294,contato294@gmail.com,2024-02-01,Promoção Inverno,Aberto
295,contato295@hotmail.com,2024-05-04,Promoção Verão,Spam
296,contato296@yahoo.com,2024-05-17,Promoção Inverno,Enviado
297,contato297@gmail.com,2024-12-05,Promoção Verão,Clique
298,contato298@gmail.com,2024-06-02,Promoção Natal,Spam
299,contato299@yahoo.com,2024-03-01,Promoção Inverno,Clique
300,contato300@hotmail.com,2024-10-11,Promoção Inverno,Aberto
