id_registro,nome,num_documento,doc_identificador,cpf_titular,telefone,email
73,Maria Santos,50221290605,50221290605,50221290605,11952939331,reg73@hotmail.com
74,Maria Santos,52998224725,52998224725,52998224725,11914374771,reg74@yahoo.com
75,Pedro Costa,63082785727,63082785727,63082785727,11988320765,reg75@gmail.com
76,Rafael Almeida,52998224725,52998224725,52998224725,11935109073,reg76@hotmail.com
77,Maria Santos,55566677788,55566677788,55566677788,11955346179,reg77@yahoo.com
78,Juliana Lima,04335195095,04335195095,04335195095,11977485644,reg78@yahoo.com
79,João Silva,63082785727,63082785727,63082785727,11978455055,reg79@gmail.com
80,Pedro Costa,55566677788,55566677788,55566677788,11916063276,reg80@yahoo.com
81,Ana Souza,52998224725,52998224725,52998224725,11952939331,reg81@yahoo.com
82,Maria Santos,50221290605,50221290605,50221290605,11993748363,reg82@yahoo.com
83,João Silva,04335195095,04335195095,04335195095,11917966287,reg83@hotmail.com
84,Carlos Oliveira,50221290605,50221290605,50221290605,11936590882,reg84@hotmail.com
85,Camila Rodrigues,11122233344,11122233344,11122233344,11936590882,reg85@gmail.com
86,Camila Rodrigues,04335195095,04335195095,04335195095,11946014365,reg86@yahoo.com
87,Camila Rodrigues,63082785727,63082785727,63082785727,11982991670,reg87@yahoo.com
88,Maria Santos,12345678909,12345678909,12345678909,11971230869,reg88@hotmail.com
89,Pedro Costa,50221290605,50221290605,50221290605,11974620912,reg89@yahoo.com
90,Pedro Costa,62597761525,62597761525,62597761525,11971230869,reg90@hotmail.com
91,Camila Rodrigues,11122233344,11122233344,11122233344,11955346179,reg91@hotmail.com
92,João Silva,52998224725,52998224725,52998224725,11924297007,reg92@yahoo.com
93,Rafael Almeida,62597761525,62597761525,62597761525,11955346179,reg93@yahoo.com
94,Pedro Costa,60608761290,60608761290,60608761290,11946014365,reg94@gmail.com
95,Maria Santos,07370382257,07370382257,07370382257,11946014365,reg95@yahoo.com
96,Camila Rodrigues,52998224725,52998224725,52998224725,11917966287,reg96@hotmail.com
97,Rafael Almeida,52998224725,52998224725,52998224725,11917966287,reg97@gmail.com
98,Rafael Almeida,63082785727,63082785727,63082785727,11936414794,reg98@yahoo.com
99,Carlos Oliveira,98381654840,98381654840,98381654840,11988320765,reg99@yahoo.com
100,Pedro Costa,12345678909,12345678909,12345678909,11915287247,reg100@gmail.com
101,Juliana Lima,63082785727,63082785727,63082785727,11941985215,reg101@hotmail.com
102,Carlos Oliveira,52998224725,52998224725,52998224725,11960135741,reg102@gmail.com
103,Rafael Almeida,62597761525,62597761525,62597761525,11987576957,reg103@gmail.com
104,Pedro Costa,04335195095,04335195095,04335195095,11914374771,reg104@hotmail.com
105,Carlos Oliveira,62597761525,62597761525,62597761525,11915977920,reg105@yahoo.com
106,João Silva,98381654840,98381654840,98381654840,11971924855,reg106@hotmail.com
107,Maria Santos,12345678909,12345678909,12345678909,11927336967,reg107@gmail.com
108,Maria Santos,11122233344,11122233344,11122233344,11981214010,reg108@hotmail.com
109,Maria Santos,63082785727,63082785727,63082785727,11971480071,reg109@yahoo.com
110,Rafael Almeida,60608761290,60608761290,60608761290,11996307116,reg110@gmail.com
111,Juliana Lima,55566677788,55566677788,55566677788,11959573839,reg111@gmail.com
112,Ana Souza,62597761525,62597761525,62597761525,11927336967,reg112@gmail.com
113,Camila Rodrigues,11122233344,11122233344,11122233344,11924297007,reg113@yahoo.com
114,Juliana Lima,62597761525,62597761525,62597761525,11920925148,reg114@gmail.com
115,Ana Souza,55566677788,55566677788,55566677788,11960117278,reg115@yahoo.com
116,Camila Rodrigues,04335195095,04335195095,04335195095,11993748363,reg116@hotmail.com
117,Maria Santos,63082785727,63082785727,63082785727,11982991670,reg117@yahoo.com
118,Carlos Oliveira,63082785727,63082785727,63082785727,11959573839,reg118@gmail.com
119,Juliana Lima,55566677788,55566677788,55566677788,11921933541,reg119@hotmail.com
120,Pedro Costa,07370382257,07370382257,07370382257,11987576957,reg120@hotmail.com
