id_parceiro,nome,cnpj_raiz_unhash,cnpj_sufx,cnpj_dig,ativo
id_parceiro_7888,Pedro Costa,22991230,9907,55,ativo_1736
id_parceiro_7277,Carlos Oliveira,90709818,7136,49,ativo_8273
id_parceiro_1880,Maria Santos,77890974,9704,05,ativo_3214
id_parceiro_1748,Maria Santos,84993584,5634,56,ativo_8193
id_parceiro_9963,Maria Santos,22991230,9907,55,ativo_3923
id_parceiro_3954,Maria Santos,17322309,2363,07,ativo_4742
id_parceiro_6210,Maria Santos,14226870,7171,49,ativo_5877
id_parceiro_6719,Ana Souza,90709818,7136,49,ativo_3733
id_parceiro_6434,Carlos Oliveira,15814399,7315,90,ativo_2300
id_parceiro_2208,Carlos Oliveira,14226870,7171,49,ativo_4715
id_parceiro_5436,Carlos Oliveira,22991230,9907,55,ativo_2093
