id_cliente,nome,cpf,email,telefone
id_cliente_2598,Carlos Oliveira,60608761290,user2120@hotmail.com,telefone_2546
id_cliente_3742,João Silva,52998224725,user6186@gmail.com,telefone_5402
id_cliente_6604,João Silva,98381654840,user6512@yahoo.com.br,telefone_1089
id_cliente_5650,Maria Santos,50221290605,user8915@hotmail.com,telefone_6053
id_cliente_3415,Pedro Costa,07370382257,user6662@hotmail.com,telefone_2622
id_cliente_4592,Carlos Oliveira,55566677788,user6050@hotmail.com,telefone_7433
id_cliente_4206,Pedro Costa,55566677788,user1764@gmail.com,telefone_5383
id_cliente_7715,Maria Santos,12345678909,user619@yahoo.com.br,telefone_4136
id_cliente_5185,Ana Souza,04335195095,user1639@yahoo.com.br,telefone_3427
id_cliente_9188,Carlos Oliveira,07370382257,user6666@gmail.com,telefone_5325
id_cliente_2612,Carlos Oliveira,62597761525,user8483@hotmail.com,telefone_1371
id_cliente_3209,Ana Souza,52998224725,user5668@hotmail.com,telefone_8055
id_cliente_7587,Maria Santos,52998224725,user5701@gmail.com,telefone_3987
id_cliente_8232,Pedro Costa,12345678909,user7381@yahoo.com.br,telefone_6945
id_cliente_5926,Carlos Oliveira,62597761525,user3246@gmail.com,telefone_2375
id_cliente_3766,João Silva,50221290605,user5475@hotmail.com,telefone_6229
id_cliente_9604,Ana Souza,52998224725,user7533@gmail.com,telefone_5600
id_cliente_8753,João Silva,52998224725,user9428@yahoo.com.br,telefone_4842
id_cliente_7712,Ana Souza,04335195095,user175@hotmail.com,telefone_8630
id_cliente_7363,João Silva,50221290605,user7407@yahoo.com.br,telefone_8871
id_cliente_4759,Maria Santos,52998224725,user6438@gmail.com,telefone_9175
id_cliente_2205,Maria Santos,11122233344,user2239@yahoo.com.br,telefone_7377
id_cliente_3721,Ana Souza,62597761525,user8763@gmail.com,telefone_7103
id_cliente_8485,Maria Santos,55566677788,user5756@yahoo.com.br,telefone_2501
id_cliente_2319,Pedro Costa,07370382257,user9827@gmail.com,telefone_9045
id_cliente_7989,Pedro Costa,04335195095,user2071@hotmail.com,telefone_9703
id_cliente_5741,João Silva,04335195095,user9606@yahoo.com.br,telefone_4751
id_cliente_7898,Maria Santos,60608761290,user2940@yahoo.com.br,telefone_4628
id_cliente_4199,Pedro Costa,52998224725,user5490@hotmail.com,telefone_5005
id_cliente_3001,Carlos Oliveira,52998224725,user1015@gmail.com,telefone_4483
id_cliente_6190,Pedro Costa,50221290605,user5433@gmail.com,telefone_6865
id_cliente_4442,Carlos Oliveira,52998224725,user9569@gmail.com,telefone_3931
id_cliente_9624,Pedro Costa,55566677788,user4781@hotmail.com,telefone_5531
id_cliente_2155,João Silva,04335195095,user413@gmail.com,telefone_4194
id_cliente_5859,Carlos Oliveira,55566677788,user8925@gmail.com,telefone_5674
id_cliente_4601,Pedro Costa,55566677788,user296@hotmail.com,telefone_3678
id_cliente_8403,João Silva,07370382257,user843@yahoo.com.br,telefone_9566
id_cliente_8610,Ana Souza,12345678909,user4464@hotmail.com,telefone_9990
id_cliente_2027,Maria Santos,07370382257,user7139@hotmail.com,telefone_6870
id_cliente_1032,Ana Souza,50221290605,user2507@hotmail.com,telefone_4630
id_cliente_5645,Carlos Oliveira,11122233344,user7881@hotmail.com,telefone_4356
id_cliente_9861,Pedro Costa,07370382257,user6568@hotmail.com,telefone_1857
id_cliente_8316,Ana Souza,12345678909,user8090@yahoo.com.br,telefone_4098
id_cliente_5297,Carlos Oliveira,62597761525,user6893@yahoo.com.br,telefone_8873
id_cliente_3583,Pedro Costa,07370382257,user891@gmail.com,telefone_3537
id_cliente_9866,Carlos Oliveira,12345678909,user4738@hotmail.com,telefone_4022
id_cliente_5631,Ana Souza,07370382257,user955@yahoo.com.br,telefone_6776
id_cliente_1457,João Silva,52998224725,user1924@yahoo.com.br,telefone_6977
id_cliente_4449,Carlos Oliveira,98381654840,user7722@yahoo.com.br,telefone_8976
id_cliente_6261,Carlos Oliveira,12345678909,user8294@gmail.com,telefone_7380
id_cliente_9251,João Silva,07370382257,user9931@yahoo.com.br,telefone_2176
id_cliente_9508,João Silva,50221290605,user9196@yahoo.com.br,telefone_2670
id_cliente_5741,Maria Santos,12345678909,user4109@yahoo.com.br,telefone_2860
id_cliente_6045,Maria Santos,98381654840,user482@gmail.com,telefone_1830
id_cliente_4684,João Silva,62597761525,user9880@yahoo.com.br,telefone_7062
id_cliente_1569,Pedro Costa,07370382257,user3360@yahoo.com.br,telefone_3643
id_cliente_7209,Ana Souza,60608761290,user9075@gmail.com,telefone_1002
id_cliente_5861,Ana Souza,04335195095,user3830@hotmail.com,telefone_5428
id_cliente_3090,Pedro Costa,50221290605,user67@yahoo.com.br,telefone_7988
id_cliente_8991,Maria Santos,04335195095,user2009@hotmail.com,telefone_8557
id_cliente_7544,Pedro Costa,11122233344,user3351@yahoo.com.br,telefone_8640
id_cliente_3920,João Silva,11122233344,user3386@hotmail.com,telefone_4596
id_cliente_1529,Pedro Costa,07370382257,user9129@gmail.com,telefone_2619
id_cliente_5563,Ana Souza,62597761525,user4499@yahoo.com.br,telefone_5972
id_cliente_9254,Carlos Oliveira,04335195095,user6546@hotmail.com,telefone_7352
id_cliente_9725,Maria Santos,07370382257,user4979@hotmail.com,telefone_8051
id_cliente_9848,Ana Souza,50221290605,user1047@gmail.com,telefone_5728
id_cliente_2138,Carlos Oliveira,62597761525,user3362@hotmail.com,telefone_1630
id_cliente_2638,Ana Souza,07370382257,user7826@gmail.com,telefone_4082
id_cliente_9418,Maria Santos,11122233344,user4529@gmail.com,telefone_9274
id_cliente_1069,Maria Santos,52998224725,user6481@yahoo.com.br,telefone_1439
id_cliente_4203,Ana Souza,62597761525,user7805@hotmail.com,telefone_6619
id_cliente_7832,Pedro Costa,07370382257,user1954@yahoo.com.br,telefone_6767
id_cliente_9131,Carlos Oliveira,11122233344,user4639@yahoo.com.br,telefone_8382
id_cliente_6142,Carlos Oliveira,55566677788,user2482@hotmail.com,telefone_5738
id_cliente_5901,Pedro Costa,07370382257,user4601@gmail.com,telefone_6166
id_cliente_8862,Maria Santos,11122233344,user360@yahoo.com.br,telefone_5155
id_cliente_8847,João Silva,11122233344,user6235@hotmail.com,telefone_6769
id_cliente_9813,João Silva,11122233344,user705@yahoo.com.br,telefone_9509
id_cliente_7178,Pedro Costa,52998224725,user9169@gmail.com,telefone_9619
id_cliente_1541,Carlos Oliveira,12345678909,user2512@yahoo.com.br,telefone_1837
id_cliente_2648,João Silva,12345678909,user7663@hotmail.com,telefone_5454
id_cliente_9860,Carlos Oliveira,04335195095,user3468@yahoo.com.br,telefone_4796
id_cliente_9844,Ana Souza,07370382257,user6305@gmail.com,telefone_4475
id_cliente_2761,Maria Santos,50221290605,user3752@gmail.com,telefone_7015
id_cliente_7774,Maria Santos,12345678909,user7282@gmail.com,telefone_7056
id_cliente_1573,Pedro Costa,55566677788,user6616@yahoo.com.br,telefone_6088
id_cliente_2983,Ana Souza,12345678909,user8196@gmail.com,telefone_1269
id_cliente_3033,Ana Souza,12345678909,user3802@hotmail.com,telefone_9273
id_cliente_7685,João Silva,04335195095,user9142@yahoo.com.br,telefone_2546
id_cliente_7238,João Silva,55566677788,user494@gmail.com,telefone_6484
id_cliente_4823,Ana Souza,12345678909,user899@yahoo.com.br,telefone_3904
id_cliente_7348,Maria Santos,07370382257,user6947@yahoo.com.br,telefone_3044
id_cliente_3526,Ana Souza,11122233344,user2478@gmail.com,telefone_4433
id_cliente_4195,Carlos Oliveira,07370382257,user4494@yahoo.com.br,telefone_8311
id_cliente_3467,Maria Santos,12345678909,user1106@hotmail.com,telefone_8706
id_cliente_8938,Maria Santos,98381654840,user147@yahoo.com.br,telefone_5381
id_cliente_9523,Ana Souza,50221290605,user800@gmail.com,telefone_5164
id_cliente_8946,Ana Souza,55566677788,user938@yahoo.com.br,telefone_7898
id_cliente_4991,Pedro Costa,07370382257,user6440@gmail.com,telefone_3553
id_cliente_4182,João Silva,04335195095,user1106@yahoo.com.br,telefone_4655
id_cliente_3198,Ana Souza,11122233344,user1462@gmail.com,telefone_9550
id_cliente_1723,Ana Souza,04335195095,user2693@yahoo.com.br,telefone_2927
id_cliente_7455,Maria Santos,55566677788,user8068@yahoo.com.br,telefone_3712
id_cliente_6654,Maria Santos,62597761525,user8974@hotmail.com,telefone_7647
id_cliente_2559,Carlos Oliveira,52998224725,user2907@gmail.com,telefone_6515
id_cliente_3262,João Silva,12345678909,user9614@yahoo.com.br,telefone_1797
id_cliente_9275,Carlos Oliveira,98381654840,user9711@hotmail.com,telefone_9233
id_cliente_8014,Carlos Oliveira,98381654840,user546@yahoo.com.br,telefone_6793
id_cliente_6592,João Silva,04335195095,user6855@gmail.com,telefone_8003
id_cliente_1819,João Silva,11122233344,user7500@hotmail.com,telefone_1077
id_cliente_6769,João Silva,04335195095,user2124@hotmail.com,telefone_1380
