id,email,cidade
73,e73@hotmail.com,Rio de Janeiro
74,e74@gmail.com,Brasília
75,e75@hotmail.com,São Paulo
76,e76@gmail.com,Belo Horizonte
77,e77@yahoo.com.br,Brasília
78,e78@gmail.com,Brasília
79,e79@yahoo.com.br,Brasília
80,e80@gmail.com,Brasília
81,e81@gmail.com,Rio de Janeiro
82,e82@hotmail.com,São Paulo
83,e83@hotmail.com,Curitiba
84,e84@yahoo.com.br,Belo Horizonte
85,e85@hotmail.com,Brasília
86,e86@yahoo.com.br,Brasília
87,e87@hotmail.com,Belo Horizonte
88,e88@gmail.com,Rio de Janeiro
89,e89@yahoo.com.br,Belo Horizonte
90,e90@gmail.com,Brasília
91,e91@hotmail.com,Curitiba
92,e92@hotmail.com,Belo Horizonte
93,e93@gmail.com,Curitiba
94,e94@yahoo.com.br,Curitiba
95,e95@gmail.com,São Paulo
96,e96@hotmail.com,Curitiba
97,e97@gmail.com,Brasília
98,e98@hotmail.com,São Paulo
99,e99@hotmail.com,Belo Horizonte
100,e100@yahoo.com.br,Brasília
101,e101@yahoo.com.br,Curitiba
102,e102@hotmail.com,Brasília
103,e103@gmail.com,São Paulo
104,e104@hotmail.com,São Paulo
105,e105@gmail.com,Curitiba
106,e106@hotmail.com,Brasília
107,e107@gmail.com,São Paulo
108,e108@hotmail.com,Belo Horizonte
109,e109@gmail.com,Curitiba
110,e110@gmail.com,Brasília
111,e111@gmail.com,Curitiba
112,e112@hotmail.com,Rio de Janeiro
113,e113@hotmail.com,Curitiba
114,e114@yahoo.com.br,Brasília
115,e115@gmail.com,Rio de Janeiro
116,e116@hotmail.com,Rio de Janeiro
117,e117@gmail.com,Rio de Janeiro
118,e118@hotmail.com,Brasília
119,e119@gmail.com,Brasília
120,e120@gmail.com,Belo Horizonte
121,e121@hotmail.com,Curitiba
122,e122@hotmail.com,Brasília
123,e123@yahoo.com.br,Curitiba
124,e124@gmail.com,Rio de Janeiro
125,e125@hotmail.com,Curitiba
126,e126@gmail.com,Belo Horizonte
127,e127@hotmail.com,Rio de Janeiro
128,e128@hotmail.com,Curitiba
129,e129@gmail.com,Curitiba
130,e130@gmail.com,Belo Horizonte
131,e131@gmail.com,Belo Horizonte
132,e132@yahoo.com.br,Belo Horizonte
133,e133@gmail.com,Rio de Janeiro
134,e134@gmail.com,Curitiba
135,e135@yahoo.com.br,Belo Horizonte
136,e136@gmail.com,Curitiba
137,e137@hotmail.com,Curitiba
138,e138@gmail.com,Belo Horizonte
139,e139@hotmail.com,Brasília
140,e140@yahoo.com.br,Belo Horizonte
141,e141@yahoo.com.br,Brasília
142,e142@gmail.com,Belo Horizonte
143,e143@gmail.com,Curitiba
144,e144@hotmail.com,Brasília
145,e145@gmail.com,Curitiba
146,e146@yahoo.com.br,São Paulo
147,e147@hotmail.com,Belo Horizonte
148,e148@yahoo.com.br,Curitiba
149,e149@gmail.com,Curitiba
150,e150@gmail.com,Curitiba
151,e151@gmail.com,Rio de Janeiro
152,e152@hotmail.com,Curitiba
153,e153@hotmail.com,São Paulo
154,e154@yahoo.com.br,Belo Horizonte
155,e155@gmail.com,Curitiba
156,e156@hotmail.com,Brasília
157,e157@gmail.com,São Paulo
158,e158@hotmail.com,Curitiba
159,e159@hotmail.com,Brasília
160,e160@gmail.com,Belo Horizonte
161,e161@gmail.com,Belo Horizonte
162,e162@gmail.com,Curitiba
163,e163@hotmail.com,Belo Horizonte
164,e164@gmail.com,Rio de Janeiro
165,e165@gmail.com,Rio de Janeiro
166,e166@yahoo.com.br,Belo Horizonte
167,e167@hotmail.com,São Paulo
168,e168@yahoo.com.br,Belo Horizonte
169,e169@hotmail.com,São Paulo
170,e170@yahoo.com.br,Brasília
171,e171@gmail.com,Curitiba
172,e172@hotmail.com,Belo Horizonte
173,e173@hotmail.com,Rio de Janeiro
174,e174@yahoo.com.br,Brasília
175,e175@yahoo.com.br,Rio de Janeiro
176,e176@gmail.com,Brasília
177,e177@gmail.com,Belo Horizonte
178,e178@hotmail.com,Brasília
179,e179@gmail.com,Rio de Janeiro
180,e180@hotmail.com,Rio de Janeiro
181,e181@gmail.com,Brasília
182,e182@gmail.com,Rio de Janeiro
183,e183@hotmail.com,Curitiba
184,e184@gmail.com,Brasília
185,e185@hotmail.com,São Paulo
186,e186@hotmail.com,Belo Horizonte
187,e187@gmail.com,Belo Horizonte
188,e188@yahoo.com.br,Brasília
189,e189@yahoo.com.br,São Paulo
190,e190@hotmail.com,Belo Horizonte
191,e191@hotmail.com,Curitiba
192,e192@yahoo.com.br,Belo Horizonte
193,e193@hotmail.com,Brasília
194,e194@gmail.com,São Paulo
195,e195@hotmail.com,Rio de Janeiro
196,e196@yahoo.com.br,Rio de Janeiro
197,e197@gmail.com,Belo Horizonte
198,e198@yahoo.com.br,Belo Horizonte
199,e199@hotmail.com,Belo Horizonte
200,e200@gmail.com,Curitiba
