id,nome,ndoc_completo,cpf_cliente,cidade
id_7484,Carlos Oliveira,98381654840,98381654840,cidade_4160
id_2087,Pedro Costa,60608761290,60608761290,cidade_3565
id_2353,Maria Santos,07370382257,07370382257,cidade_2969
id_1476,Carlos Oliveira,50221290605,50221290605,cidade_3396
id_2329,Ana Souza,55566677788,55566677788,cidade_6323
id_3387,João Silva,07370382257,07370382257,cidade_5853
id_2798,Carlos Oliveira,62597761525,62597761525,cidade_2547
id_8075,Carlos Oliveira,98381654840,98381654840,cidade_3289
id_1015,Carlos Oliveira,55566677788,55566677788,cidade_7918
id_2851,Ana Souza,04335195095,04335195095,cidade_5742
id_1179,Maria Santos,98381654840,98381654840,cidade_9210
id_3180,João Silva,12345678909,12345678909,cidade_5851
id_2383,Carlos Oliveira,11122233344,11122233344,cidade_6813
id_2791,Maria Santos,12345678909,12345678909,cidade_5004
id_5546,Carlos Oliveira,04335195095,04335195095,cidade_8494
id_9415,João Silva,04335195095,04335195095,cidade_7312
id_4850,Pedro Costa,07370382257,07370382257,cidade_9411
id_5669,Maria Santos,62597761525,62597761525,cidade_7574
id_9462,João Silva,50221290605,50221290605,cidade_3566
id_8577,Pedro Costa,12345678909,12345678909,cidade_4080
id_1540,João Silva,62597761525,62597761525,cidade_4050
id_5076,Maria Santos,07370382257,07370382257,cidade_8449
id_4720,Carlos Oliveira,52998224725,52998224725,cidade_5277
id_5967,João Silva,11122233344,11122233344,cidade_6109
id_3311,João Silva,11122233344,11122233344,cidade_7430
id_9752,Pedro Costa,55566677788,55566677788,cidade_7952
id_6695,Maria Santos,62597761525,62597761525,cidade_8334
id_3205,Carlos Oliveira,07370382257,07370382257,cidade_3048
id_4062,Pedro Costa,12345678909,12345678909,cidade_1305
id_8392,Maria Santos,04335195095,04335195095,cidade_7304
id_1204,João Silva,60608761290,60608761290,cidade_6976
id_8058,Ana Souza,04335195095,04335195095,cidade_3108
id_5037,Maria Santos,04335195095,04335195095,cidade_1081
id_7552,Maria Santos,60608761290,60608761290,cidade_8415
id_3064,Carlos Oliveira,11122233344,11122233344,cidade_8864
id_3280,Maria Santos,60608761290,60608761290,cidade_7350
id_3689,João Silva,07370382257,07370382257,cidade_5633
id_6734,Carlos Oliveira,12345678909,12345678909,cidade_5901
id_5909,Pedro Costa,52998224725,52998224725,cidade_8775
id_7054,Ana Souza,04335195095,04335195095,cidade_6609
id_8909,João Silva,07370382257,07370382257,cidade_2344
id_7891,Ana Souza,62597761525,62597761525,cidade_8020
id_4212,Ana Souza,07370382257,07370382257,cidade_7513
id_5856,Pedro Costa,50221290605,50221290605,cidade_1511
id_1099,Carlos Oliveira,04335195095,04335195095,cidade_9056
id_5164,Carlos Oliveira,55566677788,55566677788,cidade_2763
id_4230,Maria Santos,11122233344,11122233344,cidade_2487
id_1414,Pedro Costa,50221290605,50221290605,cidade_1097
id_5726,Pedro Costa,52998224725,52998224725,cidade_2837
id_4340,Pedro Costa,04335195095,04335195095,cidade_8855
id_2422,Ana Souza,98381654840,98381654840,cidade_2065
id_4673,João Silva,07370382257,07370382257,cidade_4803
id_3943,Maria Santos,62597761525,62597761525,cidade_1125
id_9217,Maria Santos,62597761525,62597761525,cidade_4081
id_8902,João Silva,07370382257,07370382257,cidade_9557
id_2265,Pedro Costa,04335195095,04335195095,cidade_4652
id_4705,Maria Santos,55566677788,55566677788,cidade_5555
id_8631,Carlos Oliveira,98381654840,98381654840,cidade_4720
id_1076,Maria Santos,12345678909,12345678909,cidade_4338
id_4694,Pedro Costa,12345678909,12345678909,cidade_7402
id_4485,Pedro Costa,50221290605,50221290605,cidade_3013
id_4066,Carlos Oliveira,55566677788,55566677788,cidade_3841
id_4835,João Silva,98381654840,98381654840,cidade_9900
id_9610,Pedro Costa,52998224725,52998224725,cidade_8603
id_1586,João Silva,98381654840,98381654840,cidade_8688
id_4637,Ana Souza,50221290605,50221290605,cidade_9422
id_4683,Maria Santos,98381654840,98381654840,cidade_9461
id_1341,Pedro Costa,12345678909,12345678909,cidade_1912
id_8723,Pedro Costa,11122233344,11122233344,cidade_7175
id_9415,Maria Santos,04335195095,04335195095,cidade_2253
id_6247,João Silva,04335195095,04335195095,cidade_6730
id_2362,Ana Souza,07370382257,07370382257,cidade_6889
id_3089,Maria Santos,11122233344,11122233344,cidade_2358
id_3124,João Silva,55566677788,55566677788,cidade_8765
id_2499,João Silva,52998224725,52998224725,cidade_3067
id_2104,Carlos Oliveira,04335195095,04335195095,cidade_7834
id_2069,Maria Santos,60608761290,60608761290,cidade_4446
id_8599,Ana Souza,55566677788,55566677788,cidade_1989
id_2439,Carlos Oliveira,52998224725,52998224725,cidade_2657
id_3156,João Silva,62597761525,62597761525,cidade_9718
id_6023,João Silva,50221290605,50221290605,cidade_8590
id_8498,Pedro Costa,60608761290,60608761290,cidade_3173
id_7540,Carlos Oliveira,50221290605,50221290605,cidade_4755
id_9271,Ana Souza,98381654840,98381654840,cidade_7436
id_6034,Pedro Costa,07370382257,07370382257,cidade_1839
